candidate_index,center_x_norm,center_y_norm,area_norm,median_depth,timestamp,scenario,frame_index,candidate_count,bbox_x,bbox_y,bbox_width,bbox_height,frames,expected_count_rate,merge_rate,false_split_rate,identity_stability_rate
0,0.05357142857142857,0.7991071428571429,0.010522959183673469,2.005201816558838,1788700215.3406122,clearly_separated,17,3,0,168,24,22,18,0.05555555555555555,0.0,0.9444444444444444,0.0
1,0.7991071428571429,0.7366071428571429,0.08968431122448979,2.0308187007904053,1788700215.340693,clearly_separated,17,3,134,140,90,50,18,0.05555555555555555,0.0,0.9444444444444444,0.0
2,0.42857142857142855,0.5535714285714286,0.03794642857142857,1.626291275024414,1788700215.3407545,clearly_separated,17,3,82,90,28,68,18,0.05555555555555555,0.0,0.9444444444444444,0.0
0,0.04017857142857143,0.8169642857142857,0.005022321428571429,1.9743307828903198,1788700215.7238936,clearly_separated,18,4,0,176,18,14,19,0.05263157894736842,0.0,0.9473684210526315,0.0
1,0.7991071428571429,0.7366071428571429,0.08968431122448979,2.0012121200561523,1788700215.7240062,clearly_separated,18,4,134,140,90,50,19,0.05263157894736842,0.0,0.9473684210526315,0.0
2,0.19196428571428573,0.5535714285714286,0.002232142857142857,1.9574708938598633,1788700215.7240512,clearly_separated,18,4,36,120,14,8,19,0.05263157894736842,0.0,0.9473684210526315,0.0
3,0.42857142857142855,0.5669642857142857,0.0390625,1.596635103225708,1788700215.7241004,clearly_separated,18,4,82,92,28,70,19,0.05263157894736842,0.0,0.9473684210526315,0.0
0,0.049107142857142856,0.8080357142857143,0.007892219387755101,1.9089572429656982,1788700216.1050842,clearly_separated,19,3,0,172,22,18,20,0.05,0.0,0.95,0.0
1,0.8080357142857143,0.7366071428571429,0.08569834183673469,1.9600207805633545,1788700216.1051602,clearly_separated,19,3,138,140,86,50,20,0.05,0.0,0.95,0.0
2,0.42857142857142855,0.5491071428571429,0.047193877551020405,1.561917781829834,1788700216.1052237,clearly_separated,19,3,80,86,32,74,20,0.05,0.0,0.95,0.0
0,0.049107142857142856,0.8125,0.00701530612244898,1.9586427211761475,1788700216.4889693,clearly_separated,20,4,0,174,22,16,21,0.047619047619047616,0.0,0.9523809523809523,0.0
1,0.7857142857142857,0.7544642857142857,0.08035714285714286,1.976914644241333,1788700216.489046,clearly_separated,20,4,128,148,96,42,21,0.047619047619047616,0.0,0.9523809523809523,0.0
2,0.1875,0.5669642857142857,0.006696428571428571,1.9193483591079712,1788700216.4890995,clearly_separated,20,4,30,120,24,14,21,0.047619047619047616,0.0,0.9523809523809523,0.0
3,0.42857142857142855,0.5803571428571429,0.04846938775510204,1.549832820892334,1788700216.4891639,clearly_separated,20,4,80,92,32,76,21,0.047619047619047616,0.0,0.9523809523809523,0.0
0,0.049107142857142856,0.7991071428571429,0.009646045918367346,1.8967735767364502,1788700216.8713794,clearly_separated,21,4,0,168,22,22,22,0.045454545454545456,0.0,0.9545454545454546,0.0
1,0.8258928571428571,0.7544642857142857,0.06529017857142858,1.954689383506775,1788700216.8714576,clearly_separated,21,4,146,148,78,42,22,0.045454545454545456,0.0,0.9545454545454546,0.0
2,0.16071428571428573,0.5669642857142857,0.010044642857142858,1.9066210985183716,1788700216.871509,clearly_separated,21,4,18,120,36,14,22,0.045454545454545456,0.0,0.9545454545454546,0.0
3,0.41517857142857145,0.5669642857142857,0.04743303571428571,1.5573813915252686,1788700216.8715682,clearly_separated,21,4,76,92,34,70,22,0.045454545454545456,0.0,0.9545454545454546,0.0
0,0.044642857142857144,0.8125,0.006377551020408163,1.9699759483337402,1788700217.254928,clearly_separated,22,3,0,174,20,16,23,0.043478260869565216,0.0,0.9565217391304348,0.0
1,0.8214285714285714,0.7366071428571429,0.07971938775510204,2.0032119750976562,1788700217.2550066,clearly_separated,22,3,144,140,80,50,23,0.043478260869565216,0.0,0.9565217391304348,0.0
2,0.4330357142857143,0.5446428571428571,0.03316326530612245,1.6565183401107788,1788700217.2550669,clearly_separated,22,3,84,90,26,64,23,0.043478260869565216,0.0,0.9565217391304348,0.0
0,0.049107142857142856,0.8035714285714286,0.008769132653061224,1.9743613004684448,1788700217.6363316,clearly_separated,23,3,0,170,22,20,24,0.041666666666666664,0.0,0.9583333333333334,0.0
